order_id,cust_id,amount_cents,order_date
8502047,8096599,285060,2020-11-20 06:11:43
7454636,4115371,37670,2025-06-28 11:13:21
1459137,7817100,50614,2025-12-16 11:48:37
7748352,7062452,211487,2023-07-21 03:53:42
4289742,7603487,37955,2022-09-11 06:27:44
1200598,2463650,82974,2023-06-17 10:55:44
1633331,5016495,56267,2024-05-27 07:35:15
1924308,7992623,111748,2025-01-16 13:41:56
1106708,4639701,19288,2026-06-18 17:30:32
1065471,7998020,125966,2024-06-16 20:12:06
1912146,3330147,296887,2026-08-29 06:22:46
6171541,1053437,46998,2026-01-03 23:40:34
1850328,8322130,37670,2021-08-06 18:55:24
3660672,711865,107410,2026-07-20 03:11:54
7907925,4528862,146492,2025-10-23 00:05:30
4330508,4098056,277111,2026-04-14 22:49:21
7401648,8322130,141992,2019-04-11 08:24:26
1468374,3688382,146641,2026-06-30 13:10:46
4687787,4085382,200536,2024-12-02 03:41:51
6734135,938845,150641,2023-01-27 11:17:35
2219085,3330147,159861,2026-06-07 00:36:30
2668617,7854304,61221,2026-08-14 06:45:03
6173767,6128366,75501,2018-11-16 01:25:54
8530581,4729265,10689,2024-08-06 07:11:48
5900012,6128366,162134,2019-03-02 00:33:55
3628075,7992623,166316,2019-08-07 14:13:06
5248658,8163606,169770,2026-08-27 04:23:18
5248149,9259400,184924,2025-10-25 01:09:16
9305014,7814484,19734,2024-08-09 22:57:58
8816837,535831,16673,2026-08-18 04:37:16
5834273,4115371,48395,2026-05-07 13:23:25
619772,6432433,298294,2025-11-11 23:19:19
1175996,1053437,150943,2024-06-03 13:57:15
9578029,1585993,221156,2021-01-02 08:34:31
4686769,8342693,96646,2025-06-23 01:32:33
2276849,5883652,77544,2019-02-23 12:47:17
3955298,6432433,170100,2025-12-25 02:49:56
5566763,6128366,50734,2024-04-22 18:56:56
7725594,4888349,111656,2025-05-15 13:10:37
5057609,322288,14434,2025-09-05 03:16:24
9603610,538793,292828,2025-05-01 12:30:53
1881542,7814484,27773,2025-12-01 18:11:15
