order_sk,order_nk,customer_sk,product_sk,order_date_sk,quantity,order_amount_usd,currency
7364077368245021882,9fbe964e-a29d-4eef-a987-168fa8a3752c,920509120069215376,5818697228068800218,14253285926154222,9,28.5,USD
7364077368245021882,9fbe964e-a29d-4eef-a987-168fa8a3752c,920509120069215376,5818697228068800218,14253285926154222,9,28.5,USD
2235586886486007304,2c6f9c23-96d5-4795-a966-67db6a85f511,8389298539224694648,17890215306842844262,6106358434601848133,1,376.7,USD
17667997157344428663,c1d25833-3e3e-448d-aa5f-7b8de0fe6a73,6817037525539615223,7453981014070442937,2657645902711986711,2,506.14,USD
13247725331040715886,00d8df3a-344b-4d64-a997-1bad963ed233,17547832241537018402,17890215306842844262,3243217902423568956,8,2114.87,USD
12144173979373329866,4e88b4ad-7d54-45c2-a271-b2512aba8541,12280908575051917464,17480337276963064880,4940047686928363096,5,379.55,USD
5573177714832768787,d69cc867-bc67-4cbd-a9ae-2b5ffe44ed6e,13437799879320047982,15951633228824292133,10985922141811218432,3,829.74,USD
5576617536011457666,b33fd7f9-4100-430f-a2df-8087e8937f53,8255403621531401548,12090486161298385301,5114991630237533223,4,562.67,USD
9824128384650979448,d4657ef4-4f5a-4d69-a3a4-bd7348ac4f97,7533457185702676899,14404221528583086594,4911079655515163724,7,1117.48,USD
10321536691015899350,94f683ad-8325-4aa5-a0a3-3b04d6979d3c,2958105162749436827,17807705055515662610,9108241751439521978,2,192.88,USD
5394689237330408242,7fe3131c-cf74-451c-a8c9-4ad3cc03d3e9,2977405823986779671,5307440574588919111,2499425823715599106,5,1259.66,USD
1631076551985696306,d29736c4-b8a8-4618-aade-3a184be70b08,13669253715026400973,3468005635999818085,16413159822373232317,8,2968.87,USD
16195038215330848911,153ade69-8f4f-4857-a4d8-528b21083246,11216341723394462186,15630133352838686689,5900426755771783233,2,469.98,USD
3176982904269040234,d89d2d32-edf8-4046-afa5-274c51834ee5,9879735446713885286,17890215306842844262,8332436461152998507,1,376.7,USD
2418536227490350771,804da791-aa90-4ac3-a123-b90c59fcdd1f,8818931395701863016,14104062014961917116,2423028372458125409,8,1074.1,USD
8390117369220949098,55f52e68-99ae-4ed8-aba3-723b7ef59f1f,1232516160825967651,1384425095853848014,8410335284721418487,5,1464.92,USD
11417201688888540147,0c682c2b-758d-4a3f-af51-c545f1e5321e,8567597225279587150,15951633228824292133,1050787106337636083,9,2771.11,USD
13596969307005900750,304ee850-7b92-4b64-a045-104d7df8ab71,9879735446713885286,1116271689836446405,2386871479811311173,8,1419.92,USD
7794668442705888121,563ab9cd-17e0-44fe-a047-b25eb7d300e2,17186562430826801141,14104062014961917116,14535873267409057471,13,1466.41,USD
5500230823877141191,2bdec1e5-b867-46a3-abf5-3e76d1ab57a9,17531817652409203160,12090486161298385301,14515474044333630770,9,2005.36,USD
5391497057203028869,b7b88b9f-dc5c-42a3-ad86-ae9a4f508ec7,8182814147756535668,10743888491563821042,8309345537395560394,4,1506.41,USD
16544030882254042759,cdfb845c-698d-46cd-afc4-3e71bf4c8f91,13669253715026400973,14439389521597342401,2982833146922758422,4,15.9861,USD
4052841382579967684,492913fe-5e32-45e6-a381-eed16610afd4,11422995361579743588,10858607304849224486,8519895245466832189,5,612.21,USD
8016368502447759280,c726905b-9607-40dd-a803-8b188e126337,4424505712407503272,16869741523285102812,6173506478393784850,5,755.01,USD
12274190841290757320,1556d50b-0bcd-428c-aa5f-8f45112cdc53,13578254458319508775,12090486161298385301,7500056798237102624,1,106.89,USD
9298768631308806078,ece74f06-41bb-40c3-ac75-973b7bd1569a,4424505712407503272,15630133352838686689,12854603518815638363,7,1621.34,USD
16892246436925324960,2b298e27-904d-4b4b-aba2-7a51667a81a0,7533457185702676899,1116271689836446405,8838838333415094779,7,1663.0,USD
6972394941017519006,128f90cb-2fe5-41e6-a4ec-9756509d3278,13508752807353566057,3468005635999818085,3365151831349494718,6,1697.7,USD
1894013505023441111,15010a84-bd19-4c5e-a95f-3ca1a46cb548,4431326311564229755,1113069664584172632,284251273794681630,7,1849.24,USD
278660268074501373,363db742-423a-45b2-a646-16d50987ab62,274284606613703275,5617659106526252157,6361479217511933351,3,197.34,USD
8971216731119828493,45ec7528-c856-4a4f-aa12-79d60c876dde,16004926081234092175,17480337276963064880,12104799569383719864,2,166.73,USD
11180141029125216301,a1a31b9d-8eb8-4e64-a265-31074d016fea,8389298539224694648,15951633228824292133,14251516664391186410,6,483.95,USD
5085988659381607583,fc5e60fa-c7b8-48d7-a583-3bd4fbc1e860,15973741923856660839,16830658530734773345,10275646580413888962,10,2982.94,USD
15290101807269777358,3ccc63fd-7cb2-498b-a889-215ba50f809f,11216341723394462186,17890215306842844262,2807083080129029955,6,1509.43,USD
7668196715940769587,ad5d02ec-aaec-413a-aba7-6ec774af9764,12388046539553849149,10748775152141397283,485148092849892287,9,2211.56,USD
505643238957404589,b1643d06-e212-4887-a9e6-a701ca8026ad,2674445339303887628,1977686040855500764,16866388585564801540,2,966.46,USD
4807162946664168012,71d5d62c-2899-43b7-a189-71dd1b140537,7431453344301529674,10858607304849224486,5804707667598214400,6,775.44,USD
8637427781639522677,6261669c-9851-41f4-acc9-efaee2b3a770,15973741923856660839,13970797764217007242,13582443637632345839,6,1701.0,USD
18206596723941414285,ab461d21-872b-48c2-a9cb-ee6053ca7227,4424505712407503272,6761961852717272116,11532183980586123100,2,507.34,USD
108229284757609980,9ad99a9f-4f38-41a7-a75b-c9cb7f88cfca,11121683982186872964,9471188876978777325,16503243147376354123,3,1116.56,USD
18146888052502466450,c98583d1-5ac6-4dd6-a711-5a025f9a7e89,3256480249814329146,7512030120466455442,11983398188409139137,1,144.34,USD
13720738154101076869,1a6b8806-277a-4cac-aa2a-e152f655d160,12192275857061571062,5818697228068800218,7003802740540873519,10,29.2828,USD
9866249093834146937,c63ee75b-c210-400a-a92c-bf126e17f122,274284606613703275,8824460340503495810,3923088102252370005,7,277.73,USD
17635986540974038268,bea96d6e-ff08-4d7d-a31a-00e9745231a4,11422995361579743588,6761961852717272116,3439803027562651834,9,1893.21,USD
16359813977511521889,69ad5711-91b2-41d7-a921-17333912efcc,4953213841898352430,14153773305520921147,1931260208991036277,3,371.34,USD
9125588321392572819,9ae59abb-d051-40ed-ad6f-e2a2d9afb0ae,12815140842567195685,15951633228824292133,14428468179735685545,3,683.94,USD
13863052533296138119,4ae37cb7-f6f0-4596-a2e3-36151fae4501,11216341723394462186,10748775152141397283,16418797668919992809,2,563.02,USD
13500143495257778150,6ba597a2-ec67-4db8-a428-7c40c6b6fafd,14289424412277949767,2974886376262008242,12106940420400403840,9,1048.79,USD
6810534702656610919,9f7fa6ae-ea05-4348-ac22-50bb501bdd8a,14277575845010753615,5332133731038200388,785360030100087389,4,976.16,USD
6331581344498100272,48af93cf-ea68-4f30-ad10-2e4f67717d18,2958105162749436827,13970797764217007242,17757015766412927226,5,1261.11,USD
18079235092287008062,31e73b39-af78-4543-a6ae-70732633dccb,8595751530228078735,14571309164620107359,729965323645494667,7,2214.47,USD
18175323993683171686,43ecf9d6-c940-46dc-ad55-3ec32d122fb1,4431326311564229755,15951633228824292133,16021771537715941557,1,227.0,USD
18175323993683171686,43ecf9d6-c940-46dc-ad55-3ec32d122fb1,4431326311564229755,15951633228824292133,16021771537715941557,1,227.0,USD
16437854126213929855,9a358d4f-b8fa-4165-ae30-f3f3cfcde9ea,11216341723394462186,17364044536833109315,15874731943491588324,10,1852.13,USD
18239352296461757353,527687d6-992a-495b-abc7-c80b60251ffe,8255403621531401548,5330870594164918989,11963901734590969312,1,135.31,USD
14718056368114416577,50c12c5c-1bdb-40ba-af86-7b3e37071443,8595751530228078735,9739939302990480397,12069089263535403332,7,638.8,USD
16105767146374215288,9afd692e-87bd-4aa5-a2f6-0dd71e7405db,16649744502536725651,5013901929724572515,4795240122300436819,3,496.21,USD
13780251060128520311,266015f4-012e-459a-a9c9-006cef08f356,10151500343931203507,9739939302990480397,16195356227964568458,8,1690.16,USD
8926093818299655283,2f46fdf6-6cd9-4ff7-ac0f-e71dbeb2b28c,12192275857061571062,14432713628461492166,11983398188409139137,9,2486.61,USD
4136033870343338412,0060b6c0-41fd-4389-a01a-c284250b001c,13663195798255829742,16830658530734773345,6150704227027234182,6,978.47,USD
13440915369247207842,e51ec369-79e6-46f3-a60f-95ba053bb68a,1052862358366864958,9547060395277548482,5619617729475460698,7,430.79,USD
4523286250431325626,d93f069f-adf7-4c32-abda-ed6ff84e6083,14277575845010753615,1113069664584172632,555859657153916609,2,374.62,USD
9313572368417453720,f3cd9f00-e8cd-42d4-a1e0-f7562e3174c4,8567597225279587150,3923348624763699602,16252177038361645898,3,3.3624,USD
4150449224735825764,30c70616-866e-44ab-a1a0-142b765ccda1,8255403621531401548,10748775152141397283,1365417938440974780,6,883.8,USD
14837796307127695821,6bbc8d69-385a-490d-a1fe-192b3724f749,4018683174142623847,2974886376262008242,6453970202604392171,7,2620.57,USD
4772201137440847549,cb7ddbd6-2ce5-4c24-a249-25661885736c,7038614968859943883,14432713628461492166,2177622562749031878,6,1941.68,USD
2530621461794688366,4633dfb6-df00-4bf0-a078-3e96ed1812fe,12147455779224855677,9369521316535937460,10433481942400125356,4,1177.08,USD
9604456991029893634,dc2a838a-8050-43cc-ac98-a5e5ed98e7ac,8389298539224694648,9471188876978777325,4450796068764662959,3,1008.54,USD
13354013556324505861,86cf537d-3f56-4434-a899-44192763c506,12020726575829882357,14104062014961917116,621596378797742688,9,1631.96,USD
7667482242215971291,1fa80ade-9dd7-411d-ab76-76fdc169e21c,2977405823986779671,1116271689836446405,6319863303815976072,1,355.05,USD
10373035279329396422,d01e223c-7680-4b68-a04d-92158264048e,7431453344301529674,17890215306842844262,6766278774880411174,3,1130.1,USD
16599691729300414474,9499d4e7-77d9-4c28-a420-e51c7ed3117f,13578254458319508775,16040368914515232653,6272619759826488066,1,230.41,USD
4607118068692298020,eb2d8df9-5d83-459b-a03b-95fb8f2dc45c,17586210565230153270,14439389521597342401,13706184618291248009,10,2747.7,USD
14545888492140282074,c7eb85eb-c022-494b-af3b-00a7c1496f4e,12192275857061571062,5330870594164918989,1895462702586928405,9,2574.03,USD
10499528685061495576,3d875fbe-2be1-4b23-a218-6f64733b57e5,9599383828596770070,5013901929724572515,149773740596809515,8,1950.73,USD
12971974272368642561,b59b8999-6343-418a-aeaf-43316dad8911,1052862358366864958,3923348624763699602,5367913658998965101,2,365.75,USD
2659454649726152165,362dfad9-bf28-4f15-ad7f-3134e6f65466,929168713003876604,16040368914515232653,14290621424103220982,7,2059.88,USD
13740937051053299107,b43e1718-5eed-41a5-a72a-529371541df3,3256480249814329146,9547060395277548482,4954155561717744408,6,1122.0,USD
16450645565110985460,a3e5fd8c-728f-4497-a879-4a4f448497d4,3575201989033984843,9547060395277548482,18305179978491780787,14,1770.91,USD
15541327844933515575,545f258f-48bd-4a69-ae93-fbb533d2ed7e,16649744502536725651,3923348624763699602,4086527076264578182,2,224.16,USD
3714272858230727406,8067a612-b081-46ca-a305-94c39cdfd743,10856213663032871399,14153773305520921147,4512745999411523564,5,1338.41,USD
17788976276045786123,988bafba-f62d-4c1f-aa97-97949f5ef7d8,9090689796382883940,14153773305520921147,10655157713043154231,3,472.68,USD
12581723145839164319,70169dd4-23c3-4da8-a651-357ce98bf1c7,11120656035847514516,15951633228824292133,8321958811486547770,7,14.8673,USD
15919238251276294480,5796fe35-7068-4583-a2b9-91cc1438c7de,9599383828596770070,16518843415869234881,7166643448062219177,1,178.35,USD
1491569041084346285,c8c71247-07af-4ae5-a108-04baf5d82b3e,12683437240464048505,16869741523285102812,2959282935531330187,3,623.46,USD
5510561556590468003,ae08ac9b-4e41-4158-a497-e03b443934c5,15409000985348395489,9471188876978777325,12282894144487756915,1,336.18,USD
8351623000341116062,13d701c0-a72c-4f65-a703-76b86d895901,2905706615813966013,13126347534268200406,3778852144662498905,3,145.11,USD
7885081864507905076,64f0daec-13e3-4f82-ae53-f01c3f26a521,17186562430826801141,5307440574588919111,9771012236695362619,3,803.7,USD
4368264745865142812,614a3a24-31a6-4ea6-a52e-5121dcc56901,5047314669854929575,14153773305520921147,17121136372164083751,3,472.68,USD
13208828815381704720,ec79ddb3-fd48-45db-a80e-7a1d99a97d61,6332797097132073105,5013901929724572515,11233932115125295231,6,1390.26,USD
16562990381033293668,c416d3b4-d2a6-4fba-a94c-3b4937ae8b72,7431453344301529674,9739939302990480397,14535934834123967451,1,41.65,USD
311248238536775903,0d7c6eb1-f3dd-43fa-ad1f-5958be19fb6b,17586210565230153270,7520130956591185983,5161153508437664630,6,967.96,USD
2626071186026255652,3747a589-004f-4b6f-a392-f575ec7346cd,929168713003876604,5615229796006274076,354611668963613205,11,2092.15,USD
17197710739439516662,eb7a4b16-722d-489d-afac-e450c8fc6330,8595751530228078735,17364044536833109315,5271810661984485326,9,2788.61,USD
9551603493056185629,1a5d6660-9ff2-48dd-a816-0de5631f66c3,13578254458319508775,5013901929724572515,14133699078530497633,5,1033.47,USD
11038820432265460290,7889d0f2-75e1-4359-a2e1-5ff22719e7a8,929168713003876604,1113069664584172632,16945300632803181652,9,2869.85,USD
5660362563015403392,07462634-bbf6-40fc-a15f-c68bb743c4e6,11120656035847514516,14153773305520921147,2571782609669630100,9,1192.17,USD
12271295450560097458,d3b53edc-93c2-4ee4-ab55-6ab3c3abd2ad,6817037525539615223,14104062014961917116,3735340635807227136,1,21.39,USD
9161640425040213414,a985d580-a41d-4b8b-a9c8-851be9c11172,4953213841898352430,14104062014961917116,8445042930751946329,2,42.78,USD
13990147603394141058,67e0d5c3-d90e-43ed-a1b4-b62337cc46d5,17531817652409203160,16830658530734773345,8576794723427887080,9,1898.75,USD
788087496928876073,a837ebe3-f9eb-4089-afdd-ab585a1553bd,2496797906621150963,9739939302990480397,7369146899379291678,9,1413.3,USD
3448016822507781179,d4ce9857-d298-4b9f-a007-d0099f288a02,12020726575829882357,5332133731038200388,10910999287764960054,7,1555.1,USD
2842674529418459482,1e547b27-788d-4c02-a956-10591e06ad9c,11216341723394462186,6761961852717272116,5495198091269847516,10,22.72,USD
2842674529418459482,1e547b27-788d-4c02-a956-10591e06ad9c,11216341723394462186,6761961852717272116,5495198091269847516,10,22.72,USD
1179828080035068329,30c83bf3-6419-4f4a-a8eb-2c69235c15c1,1232516160825967651,5617659106526252157,10180407569842160167,6,1416.45,USD
819144917931820789,bdd8cbfd-479c-4dec-af2b-4553fca7f7b6,4953213841898352430,14571309164620107359,3367782661619875318,12,2662.66,USD
10041349200905708076,e26b7c60-96bf-4f41-ab4d-0a35c0e60c7e,17586210565230153270,14439389521597342401,12190125113694657642,7,961.35,USD
12159532045746215003,0c5c6109-2a29-44ef-ab86-2ff17ba47a0f,11121683982186872964,10748775152141397283,11694797819337187914,8,1935.94,USD
6817299639083022694,83f64056-633d-4cf9-aac7-24c367fbd379,16649744502536725651,9471188876978777325,8928490746795166571,9,1998.18,USD
2032540574740941363,84c6e9ca-f052-4194-ab12-137f96905250,11727997185412714792,16518843415869234881,18223712971639265581,3,692.88,USD
14689380500786071751,86d1ee2d-84b7-401e-a63d-3bce89bb49ad,13508752807353566057,7453981014070442937,12922349805948981733,11,2073.87,USD
6713064352778909784,df2959e4-078c-48f0-a9d2-9d609b565af1,10088283487075516627,5332133731038200388,1550070402000991014,7,2035.72,USD
13286372929935481814,767ad0f2-b242-4bad-a878-ab65c78e0907,16649744502536725651,455430946588686784,3134222994464550482,9,1664.31,USD
1917449458815212537,e6cdcd65-4c32-4198-a543-0b663df157c0,4424505712407503272,3468005635999818085,6543842921070612069,1,416.98,USD
18039929343634506587,96c09339-a4d7-44b4-ab34-2e30e779adc4,16004926081234092175,16040368914515232653,3670663458455912523,1,230.41,USD
969745114850444497,7899b9d2-0c34-403d-a843-94690a8eaf36,10856213663032871399,14571309164620107359,14342852609242504501,7,2069.1,USD
12716664693073632971,036f3f73-f05b-48be-a951-fc861c5f88d4,11392095017914228444,18392544249783544741,5723717389798745408,9,2301.32,USD
11146863127383424028,d886a4eb-e950-4fe9-a699-b3d41e63d3f8,5047314669854929575,1116271689836446405,13895036716649714567,2,710.1,USD
7141734982896890879,150011ff-a89c-4d77-aa3f-b65ba2e8baef,12020726575829882357,8824460340503495810,6106358434601848133,8,1172.4,USD
4034353938028365346,57c3c948-70d7-44b3-ad07-4735dcab9ec1,13505045864676677383,7512030120466455442,5526366467896690985,3,433.02,USD
5212826394844440905,430fff84-7506-424b-ac75-ad556a8965bf,15390744263231747508,7512030120466455442,5630362425921840690,5,516.32,USD
10656308386661937254,9c7a186f-821f-43ec-ad5f-3e34a3cb9107,13993844725797528744,17807705055515662610,4976979951700796796,3,557.26,USD
5810679164188899562,8a728f7d-db26-4b4d-a9c8-b6eb76978002,8595751530228078735,7512030120466455442,4291801653945080551,5,1213.88,USD
18116798851560617646,da15707e-28a4-423a-a453-4bb5ef8255cc,11727997185412714792,9739939302990480397,11788170455272772320,7,16.2758,USD
7775797599112564321,daab9694-2ed4-4967-a27a-86a4eda5b7fb,10088283487075516627,4311857372221876141,5795925895208748483,11,3034.91,USD
3270844301914562754,0040e573-1463-4141-afa7-54c8df89e309,13437799879320047982,13126347534268200406,7417841584330801312,12,1800.67,USD
17391579370838488173,4319ddde-d18f-477b-ad74-fb5717768b8e,12119061926853683230,18392544249783544741,7398784223533514223,4,1111.62,USD
7521092852311344301,0e01aaf0-04b9-49c6-ac12-115619ea3560,16320186227754387663,2974886376262008242,17016765799003686024,7,1426.16,USD
15998326299743736342,ab60e3e0-24cd-4685-a379-fb2e95b33f85,929168713003876604,16830658530734773345,8402540279561948538,6,1630.0,USD
4406367311274460020,2d83c859-60ee-4ed7-a59b-e88045e17bd8,16004926081234092175,5332133731038200388,10863918557102592504,1,299.39,USD
3262927789726196121,c45372b8-ceb3-4986-a56b-cd9f46ddab52,14289424412277949767,2974886376262008242,4844507210619494206,7,1431.39,USD
546894669083532161,97ae8d27-1e1d-4514-a1a5-3b5e23ba3067,11216341723394462186,14439389521597342401,14706894854336442818,8,1608.19,USD
7411648287739851582,608fe6b8-1cd2-408a-a2e6-180306a70f2d,4424505712407503272,5617659106526252157,974542351615302951,12,2865.53,USD
8642547710559691789,54087bd9-be06-4185-a4bb-5e3db33ed839,13578254458319508775,17807705055515662610,15793973942343999581,3,289.32,USD
13782502783291972343,2941b5a3-d988-4162-af93-05f9f676a6c1,2496797906621150963,14153773305520921147,8693581607740906019,3,472.68,USD
5123918124656906646,895a7e0b-04d7-4372-aa25-d50f2e7d5a6c,4431326311564229755,8824460340503495810,3983089474186516367,10,1513.78,USD
12327712880126657478,eb47930a-3cf5-4219-acde-fa55fb5af734,11345042312777282375,16040368914515232653,14636574389885717852,1,230.41,USD
2888411420043885455,56c435d2-36a3-4072-a24b-e125f774422c,2905706615813966013,7453981014070442937,12820470838064258734,7,1565.63,USD
17465172094870055080,32b214cc-1c65-4d47-a16b-1cc06e7668e8,10088283487075516627,10858607304849224486,8866361559068750749,8,2132.6,USD
15316285281108834385,d25d3e8c-6194-4a4f-a0fa-9b2dbb12cb81,6921773394212205792,9471188876978777325,4453255671012477093,7,2391.32,USD
8550084504611730840,3f383d61-4d40-47c1-ab98-f7d884ef7505,7676857010900823613,14439389521597342401,1819612005319176912,11,1915.77,USD
6761201819187598803,7c69ef69-952a-4608-a8ce-2caf1dffedf8,16251487634525660432,7520130956591185983,9675467775177109530,9,2994.27,USD
15270772282277607144,facb5250-d554-4357-a87c-7490b52e9fbd,1298074457214284685,455430946588686784,9893957187705938856,2,712.84,USD
9510144234265072307,33f632e2-79ac-4162-abd1-78617acbe24e,6817037525539615223,12090486161298385301,13807605769343633570,10,14.2752,USD
8885806346444285931,273ee826-99f7-493a-a094-49bfc0dba8ff,10856213663032871399,9739939302990480397,2334266398211717286,12,2462.05,USD
13925348446768203440,8bd64e98-54a2-42a1-a794-f63166c6e3d3,12020726575829882357,16040368914515232653,14611823454689719167,8,983.65,USD
3978304043714844728,4110abd1-da34-4c7a-ac90-1e63b60e5047,16004926081234092175,7512030120466455442,1837305173208093794,7,802.93,USD
6247177028922820015,06c7172e-f131-4fe9-a3a3-24a4e67532d7,12192275857061571062,7453981014070442937,14968485076193341034,10,1435.5,USD
9510548473531985612,b8fcc525-a8ee-4f26-ae10-1dfb5563d51d,15973741923856660839,1116271689836446405,3365151831349494718,3,1065.15,USD
9937064679144823924,0e3aaa9a-c1b5-4fea-ad81-f09eb4e986d4,13696708613812068030,1384425095853848014,4466375642766255860,3,500.54,USD
15780073499586594938,60b5413d-c84e-49fc-a434-c253deb1544f,920509120069215376,14571309164620107359,8691365676923670658,9,1492.88,USD
1708434662730960425,5af12f5a-8624-4c10-a6a2-59f15ddbd870,2424024701023994409,13970797764217007242,8326568073780814606,9,1715.62,USD
15080961028002098722,d3d2783e-15f2-4353-a3b3-db6d981e551d,13663195798255829742,5307440574588919111,13634306530619027504,3,561.83,USD
12060993320322057338,040e6e15-35f4-49ed-ad58-5fe6c501872d,5047314669854929575,16040368914515232653,7870032279384032849,8,949.0,USD
12060993320322057338,040e6e15-35f4-49ed-ad58-5fe6c501872d,5047314669854929575,16040368914515232653,7870032279384032849,8,949.0,USD
18397703677933532249,dfad168a-49f9-4e61-ace4-3398e19dd3e7,10151500343931203507,1384425095853848014,6777151137630148079,4,1413.82,USD
4993084071620084656,1102107e-c6f6-4b2f-a89e-bab43bad3884,14289424412277949767,16869741523285102812,4975547293412980052,7,2012.77,USD
9400073334138638883,76584173-3d8f-4d7a-a58f-ae84277b110b,2311896346552974835,8824460340503495810,5762917649910269694,7,1010.99,USD
702261274236664622,e713872e-c40a-48b2-a499-14ae3b149064,12077478266270420064,14153773305520921147,5312181437796618466,10,2347.37,USD
6994694370320535638,2d2c311e-e977-44b1-a28c-dee18dd6ccc1,5047314669854929575,9739939302990480397,10995693210622117745,3,684.78,USD
16721493138980433276,0373559b-cf71-4c1c-a7a9-97d2979aa397,14289424412277949767,14404221528583086594,5073750253977397953,9,1865.6,USD
15313063697046261340,dee2ddc7-e3c1-4ed9-a939-df0476bc5cdf,2720613993126138763,17364044536833109315,10654894063657471834,2,136.76,USD
4084948447504638693,b6cebf77-a761-4878-ae1e-ebc87385cdc5,4018683174142623847,1977686040855500764,7872383741761896898,4,1168.15,USD
17556529620652445984,d6f65e04-5916-48c0-ada9-2b076877aabf,443523813074526730,16869741523285102812,8691365676923670658,8,1342.71,USD
16132076622474372563,1188f778-2f9d-458b-a40b-8a914ddd1c14,274284606613703275,16869741523285102812,9073495936467760142,12,37.8876,USD
14311432779497977401,c90194bb-f2fc-4121-a0f2-9d4538c9688c,11121683982186872964,7453981014070442937,4802244922654428830,5,652.86,USD
10523060713063942356,412e29d0-4c24-4942-a897-a89206098450,11345042312777282375,9471188876978777325,14986449858421102688,10,2336.11,USD
17773527128538545516,ffd9ccfc-cf2d-4a02-a428-84b31ac738dc,1406401059029599408,1113069664584172632,6190264600228653606,6,1197.78,USD
9585202847572206745,204b5092-0a5c-41c5-a059-81c9cd984aff,4953213841898352430,7453981014070442937,2628225089716773710,6,1980.82,USD
6771142211894590539,ae1b2a66-185c-40a2-a96b-6b7496656c6f,14289424412277949767,3468005635999818085,6938547499704333093,7,1066.54,USD
9274518548200697780,19dc0ebe-a3e3-4da3-a94d-e964cfd091c5,13663195798255829742,7453981014070442937,11560338758135656717,6,1231.89,USD
2955323943858941660,b8dfb4df-41c8-4920-a982-b3c0228a4b67,4805686739889263458,5307440574588919111,13172441026412732755,5,1339.5,USD
9108848250276455588,9fe8bdbb-78d1-40f6-a972-cfdfa13d3f46,7533457185702676899,17890215306842844262,6106358434601848133,1,376.7,USD
2261960661123666218,8f78cf87-1aa3-4b2d-a5e6-3ecf83fa2a4e,9879735446713885286,16846359385555957683,11408479642122787594,5,1573.37,USD
376197558261391914,50049241-de4e-4ff3-a1a6-fbed272db6c3,3487886234709579803,2974886376262008242,12457554076448341452,11,2226.67,USD
17934359545417732783,480a6be6-783c-463f-a365-bd646202c898,12020726575829882357,1977686040855500764,4965453008584467206,7,1634.57,USD
14034031934255422737,bb1f9665-93cd-47a6-a538-9250a93a5352,920509120069215376,10748775152141397283,6059010786263533663,2,563.02,USD
3182970466894290676,c555706a-de21-48af-a88f-51894af2332d,12147455779224855677,10748775152141397283,8344133227941925482,4,1070.36,USD
2317462975572039134,2a67f55b-458f-4b25-a225-d13b6afa7d5f,1298074457214284685,17807705055515662610,2901164437718720460,5,869.65,USD
13858718959716780594,ca0b6ba2-4f40-47df-a990-7879dbf5a97e,2720613993126138763,8824460340503495810,2324017567459684771,10,1923.0,USD
3140142051803510746,593a4997-bd0b-4613-a049-cc38afcbd01d,2905706615813966013,15630133352838686689,8414254508953247950,1,242.0,USD
17822386354586738731,5323a9d3-a9e9-4434-a5d0-88016b710e06,13696708613812068030,14404221528583086594,403142414103496480,7,1184.44,USD
12582664520976806270,0d79eff7-02c9-4c53-af49-1f35f3b26706,3648768365220377127,17480337276963064880,3304752801759548187,5,617.68,USD
16497477623800472924,23dcb51e-d7ae-42fc-a746-b92243a5c2f9,6921773394212205792,10748775152141397283,17142312960698785127,4,995.0,USD
7384727177549364054,f8d95bd2-7571-475e-a7de-c62abba1ad29,929168713003876604,4311857372221876141,6457550636196907907,9,16.3928,USD
3453477967163820831,ef1c6965-4d37-4feb-a8a3-791190413ab2,17639160232696939391,5330870594164918989,17929166525643229195,2,270.62,USD
2872760819213359275,ea5b751a-7e91-411e-aa83-9568d075520f,1052862358366864958,5307440574588919111,2791691432936170911,4,1158.75,USD
3347050085263005909,167f39ce-5b67-44c8-a580-af0944f9236a,2496797906621150963,16518843415869234881,13627542824926993772,10,2407.72,USD
9314045541439705751,be982fb3-f917-48f7-ae5c-23013e8e0372,12119061926853683230,16040368914515232653,17179547547962813729,4,1194.38,USD
11826362768090004918,caf0c4f8-d8a2-45b7-a30d-7605cd64e2bf,17547832241537018402,10858607304849224486,3340025137116380565,12,2194.94,USD
15929006252723961992,fa51303c-eceb-46f5-a0e1-018fc23dfe97,8182814147756535668,4311857372221876141,11686543570121662443,10,2295.73,USD
13062673544184824391,986952a4-4123-43dc-a8e5-47bc65ad3932,8818931395701863016,17807705055515662610,5326763918317041064,12,2493.81,USD
5814193699157460573,5ac0e54e-bc85-4805-af92-a3c5ecfcd0d8,821336753200851348,9739939302990480397,4604333091843564556,9,1497.51,USD
5109605570989894454,9e5cbc2a-5611-455b-a8a1-0ad52cc758bd,11120656035847514516,16040368914515232653,6981118323188455770,6,378.37,USD
1371416396971777298,bca55ca0-af26-499a-a0b8-115bbe488a86,821336753200851348,5818697228068800218,11712596136367222067,6,1436.58,USD
8963342317848258665,8b5f1ce2-3dac-4ade-a1a6-e53a60135ba0,14464703931505424934,11893645406669463269,7260952699799232578,1,26.03,USD
11524763554775905988,fb9fcc0e-695c-48f7-ae77-16c6a0947d90,11727997185412714792,16040368914515232653,8731922577685942074,7,1457.5,USD
2151116765502072903,2afee4b1-0ec2-4f17-a7c4-f35b3c9c75f0,13669253715026400973,1116271689836446405,5609570627943732085,5,1102.46,USD
11166302137923694426,3022a4d5-7cb7-48de-acbb-c1818217f671,350664482835657035,3468005635999818085,7959913928562660658,9,2346.99,USD
16034989985894173359,c9eb8c9d-6fa7-4b11-a75e-40677f3c887b,11216341723394462186,1384425095853848014,9028307681772425299,11,3379.79,USD
