revenue_month,total_revenue_usd
2017-02,621.41
2017-08,299.39
2017-09,3781.6
2017-12,978.47
2018-03,374.62
2018-04,472.68
2018-07,2217.22
2018-08,4527.21
2018-09,3686.54
2018-10,230.41
2018-11,755.01
2019-01,1956.74
2019-02,1627.04
2019-03,1621.34
2019-04,3101.91
2019-05,1498.91
2019-08,1663.0
2019-10,1923.0
2019-11,1960.49
2020-03,2865.53
2020-04,2489.77
2020-05,1793.15
2020-06,2613.13
2020-08,1630.0
2020-09,355.05
2020-10,1474.92
2020-11,3734.27
2020-12,1667.43
2021-01,8027.19
2021-02,1623.89
2021-03,3276.2
2021-04,672.36
2021-05,7141.34
2021-06,3853.16
2021-07,6287.91
2021-08,4579.52
2021-09,10538.78
2021-11,6758.34
2021-12,2225.68
2022-01,2327.58
2022-02,7251.08
2022-03,2666.36
2022-04,7117.44
2022-05,8925.99
2022-06,2598.98
2022-07,6944.71
2022-08,3968.46
2022-09,3510.24
2022-10,3549.16
2022-11,2685.21
2022-12,1760.21
2023-01,9636.97
2023-02,1026.08
2023-03,4740.1
2023-04,5186.52
2023-05,7458.3
2023-06,2169.62
2023-07,9143.26
2023-08,3605.67
2023-10,7975.62
2023-11,3103.33
2023-12,12787.46
2024-01,2235.03
2024-02,6576.01
2024-03,9389.57
2024-04,4217.56
2024-05,15002.43
2024-06,5552.44
2024-07,6481.79
2024-08,7791.67
2024-09,8472.65
2024-10,6457.04
2024-11,7548.15
2024-12,7560.9
2025-01,17097.72
2025-02,7668.09
2025-03,11632.7
2025-04,5539.91
2025-05,5410.21
2025-06,9271.53
2025-07,11688.19
2025-08,5973.2
2025-09,22486.08
2025-10,17759.65
2025-11,17202.97
2025-12,13165.73
UNKNOWN,133411.74
